ID,YEAR,MONTH,ELEMENT,VALUE1,MFLAG1,QFLAG1,SFLAG1,VALUE2,MFLAG2,QFLAG2,SFLAG2,VALUE3,MFLAG3,QFLAG3,SFLAG3,VALUE4,MFLAG4,QFLAG4,SFLAG4,VALUE5,MFLAG5,QFLAG5,SFLAG5,VALUE6,MFLAG6,QFLAG6,SFLAG6,VALUE7,MFLAG7,QFLAG7,SFLAG7,VALUE8,MFLAG8,QFLAG8,SFLAG8,VALUE9,MFLAG9,QFLAG9,SFLAG9,VALUE10,MFLAG10,QFLAG10,SFLAG10,VALUE11,MFLAG11,QFLAG11,SFLAG11,VALUE12,MFLAG12,QFLAG12,SFLAG12,VALUE13,MFLAG13,QFLAG13,SFLAG13,VALUE14,MFLAG14,QFLAG14,SFLAG14,VALUE15,MFLAG15,QFLAG15,SFLAG15,VALUE16,MFLAG16,QFLAG16,SFLAG16,VALUE17,MFLAG17,QFLAG17,SFLAG17,VALUE18,MFLAG18,QFLAG18,SFLAG18,VALUE19,MFLAG19,QFLAG19,SFLAG19,VALUE20,MFLAG20,QFLAG20,SFLAG20,VALUE21,MFLAG21,QFLAG21,SFLAG21,VALUE22,MFLAG22,QFLAG22,SFLAG22,VALUE23,MFLAG23,QFLAG23,SFLAG23,VALUE24,MFLAG24,QFLAG24,SFLAG24,VALUE25,MFLAG25,QFLAG25,SFLAG25,VALUE26,MFLAG26,QFLAG26,SFLAG26,VALUE27,MFLAG27,QFLAG27,SFLAG27,VALUE28,MFLAG28,QFLAG28,SFLAG28,VALUE29,MFLAG29,QFLAG29,SFLAG29,VALUE30,MFLAG30,QFLAG30,SFLAG30,VALUE31,MFLAG31,QFLAG31,SFLAG31
USC00200230,1892,4,PRCP,0,P,,6,0,P,,6,51,,,6,25,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,84,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,51,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,203,,,6,0,P,,6,0,P,,6,-9999,,,
USC00200230,1892,4,SNOW,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,8,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,
USC00200230,1892,5,TMAX,206,,,6,206,,,6,239,,,6,183,,,6,117,,,6,161,,,6,89,,,6,100,,,6,161,,,6,128,,,6,133,,,6,139,,,6,161,,,6,172,,,6,194,,,6,200,,,6,250,,,6,183,,,6,161,,,6,161,,,6,128,,,6,-9999,,,,150,,,6,194,,,6,206,,,6,178,,,6,161,,,6,206,,,6,233,,,6,261,,,6,278,,,6
USC00200230,1892,5,TMIN,67,,,6,139,,,6,117,,,6,94,,,6,56,,,6,61,,,6,33,,,6,6,,,6,28,,,6,67,,,6,67,,,6,50,,,6,50,,,6,94,,,6,111,,,6,78,,,6,94,,,6,128,,,6,78,,,6,61,,,6,67,,,6,50,,,6,83,,,6,78,,,6,106,,,6,106,,,6,78,,,6,50,,,6,122,,,6,128,,,6,156,,,6
USC00200230,1892,5,PRCP,203,,,6,178,,,6,25,,,6,-9999,,,,-9999,,,,102,,,6,-9999,,,,-9999,,,,51,,,6,25,,,6,-9999,,,,13,,,6,-9999,,,,51,,,6,-9999,,,,-9999,,,,-9999,,,,419,,,6,140,,,6,-9999,,,,-9999,,,,38,,,6,-9999,,,,-9999,,,,107,,,6,-9999,,,,-9999,,,,25,,,6,-9999,,,,-9999,,,,119,,,6
USC00200230,1892,6,TMAX,256,,,6,250,,,6,161,,,6,233,,,6,233,,,6,261,,,6,233,,,6,233,,,6,233,,,6,261,,,6,289,,,6,311,,,6,311,,,6,267,,,6,289,,,6,322,,,6,272,,,6,261,,,6,261,,,6,278,,,6,278,,,6,272,,,6,267,,,6,267,,,6,228,,,6,228,,,6,217,,,6,233,,,6,233,,,6,200,,,6,-9999,,,
USC00200230,1892,6,TMIN,178,,,6,156,,,6,117,,,6,111,,,6,172,,,6,133,,,6,139,,,6,139,,,6,144,,,6,156,,,6,133,,,6,178,,,6,200,,,6,117,,,6,144,,,6,178,,,6,178,,,6,172,,,6,189,,,6,161,,,6,183,,,6,178,,,6,194,,,6,189,,,6,133,,,6,128,,,6,128,,,6,128,,,6,133,,,6,133,,,6,-9999,,,
USC00200230,1892,6,PRCP,89,,,6,-9999,,,,267,,,6,-9999,,,,13,,,6,-9999,,,,168,,,6,25,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,46,,,6,43,,,6,84,,,6,-9999,,,,-9999,,,,-9999,,,,71,,,6,25,,,6,-9999,,,,-9999,,,,236,,,6,-9999,,,,5,,,6,119,,,6,-9999,,,
USC00200230,1892,7,TMAX,217,,,6,183,,,6,189,,,6,206,,,6,228,,,6,250,,,6,250,,,6,272,,,6,294,,,6,311,,,6,300,,,6,300,,,6,283,,,6,283,,,6,300,,,6,206,,,6,256,,,6,267,,,6,283,,,6,294,,,6,300,,,6,278,,,6,333,,,6,339,,,6,339,,,6,344,,,6,322,,,6,328,,,6,267,,,6,261,,,6,272,,,6
USC00200230,1892,7,TMIN,83,,,6,117,,,6,50,,,6,100,,,6,117,,,6,106,,,6,128,,,6,144,,,6,161,,,6,183,,,6,172,,,6,172,,,6,189,,,6,144,,,6,133,,,6,128,,,6,117,,,6,133,,,6,172,,,6,194,,,6,183,,,6,189,,,6,183,,,6,228,,,6,206,,,6,239,,,6,217,,,6,222,,,6,167,,,6,133,,,6,139,,,6
USC00200230,1892,7,PRCP,0,P,,6,30,,,6,467,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,5,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,5,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,T,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,53,,,6,0,P,,6,0,P,,6
USC00200230,1892,8,TMAX,261,,,6,267,,,6,300,,,6,239,,,6,256,,,6,272,,,6,311,,,6,322,,,6,344,,,6,289,,,6,261,,,6,256,,,6,256,,,6,278,,,6,300,,,6,311,,,6,311,,,6,328,,,6,267,,,6,239,,,6,222,,,6,250,,,6,289,,,6,300,,,6,222,,,6,244,,,6,239,,,6,222,,,6,278,,,6,222,,,6,156,,,6
USC00200230,1892,8,TMIN,150,,,6,144,,,6,139,,,6,167,,,6,122,,,6,161,,,6,150,,,6,178,,,6,233,,,6,217,,,6,183,,,6,139,,,6,117,,,6,150,,,6,161,,,6,167,,,6,167,,,6,189,,,6,161,,,6,133,,,6,133,,,6,133,,,6,161,,,6,161,,,6,172,,,6,139,,,6,133,,,6,111,,,6,139,,,6,139,,,6,111,,,6
USC00200230,1892,8,PRCP,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,56,,,6,71,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,127,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,64,,,6,0,P,,6
USC00200230,1892,9,TMAX,194,,,6,228,,,6,267,,,6,289,,,6,217,,,6,189,,,6,156,,,6,200,,,6,244,,,6,261,,,6,289,,,6,228,,,6,189,,,6,178,,,6,194,,,6,178,,,6,200,,,6,239,,,6,183,,,6,183,,,6,233,,,6,239,,,6,272,,,6,272,,,6,261,,,6,161,,,6,206,,,6,222,,,6,206,,,6,261,,,6,-9999,,,
USC00200230,1892,9,TMIN,-11,,S,6,78,,,6,133,,,6,156,,,6,128,,,6,67,,,6,94,,,6,94,,,6,122,,,6,150,,,6,144,,,6,139,,,6,111,,,6,100,,,6,100,,,6,67,,,6,72,,,6,100,,,6,94,,,6,83,,,6,117,,,6,156,,,6,156,,,6,172,,,6,133,,,6,83,,,6,67,,,6,117,,,6,78,,,6,122,,,6,-9999,,,
USC00200230,1892,9,PRCP,0,P,,6,0,P,,6,0,P,,6,5,,,6,0,P,,6,0,P,,6,64,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,206,,,6,726,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,198,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,-9999,,,
USC00200230,1892,10,TMAX,200,,,6,156,,,6,244,,,6,167,,,6,78,,,6,144,,,6,189,,,6,78,,,6,128,,,6,172,,,6,200,,,6,206,,,6,211,,,6,239,,,6,222,,,6,183,,,6,139,,,6,239,,,6,117,,,6,144,,,6,172,,,6,172,,,6,94,,,6,72,,,6,67,,,6,67,,,6,83,,,6,133,,,6,78,,,6,83,,,6,100,,,6
USC00200230,1892,10,TMIN,72,,,6,44,,,6,89,,,6,67,,,6,6,,,6,0,,,6,67,,,6,50,,,6,33,,,6,44,,,6,67,,,6,78,,,6,83,,,6,100,,,6,128,,,6,89,,,6,83,,,6,78,,,6,72,,,6,39,,,6,67,,,6,50,,,6,6,,,6,-11,,,6,17,,,6,17,,,6,17,,,6,17,,,6,22,,,6,-22,,,6,17,,,6
USC00200230,1892,10,PRCP,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,5,,,6,0,P,,6,0,P,,6,69,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,38,,,6,0,P,,6,0,P,,6,15,,,6
USC00200230,1892,11,TMAX,94,,,6,89,,,6,83,,,6,78,,,6,17,,,6,100,,,6,128,,,6,0,,,6,22,,,6,33,,,6,39,,,6,28,,,6,122,,,6,83,,,6,78,,,6,100,,,6,139,,,6,83,,,6,11,,,6,0,,,6,22,,,6,6,,,6,-33,,,6,-17,,,6,-17,,,6,0,,,6,6,,,6,17,,,6,28,,,6,11,,,6,-9999,,,
USC00200230,1892,11,TMIN,61,,,6,61,,,6,44,,,6,-33,,,6,-67,,,6,-28,,,6,-11,,,6,-44,,,6,-61,,,6,-22,,,6,-39,,,6,-28,,,6,-28,,,6,17,,,6,6,,,6,17,,,6,50,,,6,-6,,,6,-39,,,6,-61,,,6,-11,,,6,-44,,,6,-100,,,6,-83,,,6,-39,,,6,-44,,,6,-72,,,6,-6,,,6,-6,,,6,-89,,,6,-9999,,,
USC00200230,1892,11,PRCP,0,T,,6,330,,,6,-9999,,,,46,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,51,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,46,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,25,,,6,-9999,,,,-9999,,,,-9999,,,,36,,,6,305,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,
USC00200230,1892,11,SNOW,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,25,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,13,,,6,-9999,,,,-9999,,,,-9999,,,,20,,,6,152,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,
